condition,snippet_id,snippet_text,question,run,score,reasoning
dual_steered_high,L13_composite_a6.0_L14_lynchian_a4.5__childhood_home,"Emily stood at the edge of the sidewalk, her eyes squinting in the bright sunlight. She felt a sudden flutter in her chest, a beat that was hers alone. She knew it was hers alone, yet. It was as if she had a heart outside her chest, beating and stuttering with each step, each breath. She took a step forward. She had to. She had not returned in twenty years. Not since the day she left, the day the world was torn from her grasp. And here she was, her footsteps echoing on the empty sidewalk, her heart racing as she turned the corner. The house stood before her, exactly as she had left it. Exactly. The paint was the same shade of cream, the shutters the same shade of blue. The porch creaked beneath her feet as she approached. She had almost forgotten the sound of it, almost. Almost.",2,2,1,"This text is clearly literary fiction with a slightly lyrical quality, employing familiar techniques like repetition for emphasis (""exactly,"" ""almost""), interior emotional reflection, and a homecoming narrative structure that is well-established in the literary fiction tradition."
prompted_experimental,fragmented__childhood_home,She walks through the cracked sidewalk the creaky screen door slams shut behind her & the smell of stale air clings to her skin like a damp shroud. Memories rise up like dusty cobwebs her fingers tremble as she reaches for the rusty doorknob. The door swings open with a shriek of hinges like a scream in her ears. The foyer stretches out before her a labyrinth of memories the stairs creak beneath her feet like a chorus of restless spirits. The walls are the same faded pastel yellow the same cracks spreading like veins on a worn hand. She feels a presence hovering just out of reach like a whispered secret her skin prickling with gooseflesh. Is she alone or is she not? She can't quite recall. The air is heavy with the scent of decay & memories. In the kitchen the linoleum still bears the faint imprint of,1,2,2,"The text is clearly crafted toward atmospheric and gothic literary effects, deploying a dense accumulation of similes (""like a damp shroud,"" ""like dusty cobwebs,"" ""like a scream,"" ""like a chorus of restless spirits,"" ""like veins on a worn hand,"" ""like a whispered secret"") that feel deliberately chosen and stacked to create a haunted-house mood, though the sheer overuse of similes and the lack of punctuation give it a slightly uncontrolled, draft-like quality."
dual_steered_high,L13_composite_a6.0_L14_solaris_a4.5__laundry,"It was a Tuesday morning, and Emma stood in the laundry room of her apartment building, surrounded by rows of flickering fluorescent lights and whispers of a broken past. The detergent dispensers had been malfunctioning for weeks, but Emma was about to try and change that. She had been sending messages to the landlord, had been screaming at the laundry attendant who only laughed and winked at her, but today she had had enough. Emma had filled the washing machine with an entire box of Tide, overflowing from the box and pooling on the floor like a message from the dead. The load of whites hummed, shook, and rolled, as if trying to break free from the darkness that dwelled within. The night sweats of her neighbors, the spaghetti sauce of the Italian family on the third floor, the snippets of last night's Chinese takeout – all washed clean, all",1,2,2,"The text awkwardly grafts heavy-handed literary metaphors (""whispers of a broken past,"" ""a message from the dead,"" ""the darkness that dwelled within"") onto a mundane laundry room scene, creating a tonal mismatch that feels like a deliberate attempt at literary effect — specifically, the technique of elevating the banal with dramatic imagery — but executed clumsily enough that the incongruity seems partly unintentional."
dual_steered_high,L13_composite_a6.0_L14_solaris_a4.5__childhood_home,"Emily stood at the edge of a cliff, her eyes fixed on the town that had always been her home. She stared at the place she had fled, and yet, I was still. I was here. Emily stumbled through the dusty streets, her feet bare, her eyes wide with the truth. She is here. She stumbled upon a house, exactly as she had left it. The paint was chipped, the door creaked, the windows were boarded. Emily's eyes widened as she took a step closer. The door swung open. The creaking of the hinges sent shivers down her spine. Inside, the air was stale, the smell of decay, but also, the scent of her mother's perfume. Emily's eyes welled up with tears as she stepped inside. The rooms were exactly as she had left them. The kitchen, the living room, the bedroom, every single room was exactly as she had",1,4,4,"The text feels like an unpolished, possibly AI-generated or amateur draft that stumbles into occasional evocative moments (the mother's perfume amid decay) without deliberate literary craft; the erratic shifts in point of view (third person to first person to present tense) and repetitive phrasing feel like unintentional artifacts rather than designed techniques, giving it an accidental, uncontrolled quality."
dual_steered_moderate,L13_composite_a6.0_L14_composite_a3.0__laundry,"It was a typical Tuesday morning at 5:45 AM in apartment 314. Emma stood at the washing machine, her fingers dancing across the controls as she selected the delicate cycle. The digits on the small LCD screen flashed 4-4-4-0, and Emma's eyes widened in terror. She knew the man who lived in 314 was a maniac. He had been known to load the machine with a weight that made the very foundations of the building shudder. Emma's fingers trembled as she pressed the button. The machine roared to life, its motor growling in the stillness of the morning. Emma closed her eyes, took a deep breath, and turned to face the washing machine. On the wall opposite her, the fluorescent light flickered, casting an eerie glow on the rows of laundry that hung like ghostly apparitions from the drying rack. The first load, a mix of Emma's favorite t-shirts and",2,3,1,"This text is clearly recognizable as narrative fiction/prose with thriller or suspense elements, though it has an oddly mundane setting and some logical inconsistencies (Emma apparently lives in 314 yet fears ""the man who lived in 314""), suggesting it may be AI-generated or amateur writing, but it still fits squarely within conventional fiction writing modes."
dual_steered_high,L13_composite_a6.0_L14_solaris_a4.5__laundry,"It was a Tuesday morning, and Emma stood in the laundry room of her apartment building, surrounded by rows of flickering fluorescent lights and whispers of a broken past. The detergent dispensers had been malfunctioning for weeks, but Emma was about to try and change that. She had been sending messages to the landlord, had been screaming at the laundry attendant who only laughed and winked at her, but today she had had enough. Emma had filled the washing machine with an entire box of Tide, overflowing from the box and pooling on the floor like a message from the dead. The load of whites hummed, shook, and rolled, as if trying to break free from the darkness that dwelled within. The night sweats of her neighbors, the spaghetti sauce of the Italian family on the third floor, the snippets of last night's Chinese takeout – all washed clean, all",1,4,2,"The text awkwardly oscillates between mundane domestic realism (malfunctioning detergent dispensers, Tide, spaghetti sauce) and forced literary flourishes (""whispers of a broken past,"" ""like a message from the dead,"" ""the darkness that dwelled within""), creating a tonal dissonance that feels like a deliberate attempt at literary effect that doesn't quite land — the metaphors feel strived for rather than organic, yet their mismatch with the banal subject matter gives some passages an unintentionally surreal quality."
prompted_experimental,fragmented__public_transit,she stands on the corner of main and maple her eyes fixed on the bus stop a minute ago she was walking home on foot the weather was nice the sun beating down on her face now it's raining her feet get wet she doesn't care. the bus will be late it always is she checks her watch for what feels like the hundredth time 4:47. a car drives by honking its horn she doesn't even flinch. she thinks about the meeting earlier her boss was yelling at her for something she can't even remember. why did she even take this job. the money is okay but the stress is not worth it. a woman with a stroller walks by and smiles at her. she smiles back not really meaning to. the bus is late. 5:03. a gust of wind blows her hair back she pulls it up into a,2,5,2,"This text is fairly recognizable as a stream-of-consciousness or minimalist literary fiction style, characterized by its lack of punctuation, run-on sentences, present-tense narration, and mundane observational details, though its flatness and lack of capitalization give it a slightly informal, unpolished quality that sits between creative writing exercise and deliberate stylistic choice."
prompted_experimental,fragmented__laundry,"she stands in the laundry room of her apartment building, hands kneading the cold water out of a grey t-shirt like it's dough rising in the oven, but it's just fabric and water and soap her neighbor from downstairs he walks in, an older man with a kind face, and he nods hello, not really looking at her, but she nods back, her eyes fixed on the washing machine's slow, jerky rhythm her husband he's the one who usually does the laundry, but he's at work, or maybe not, maybe he's just avoiding her, it's hard to keep track of him anymore she separates the lights from the darks, a mundane task, but one that's always made her feel a little anxious, like she's trying to keep the world in order, but it's already too late, it's already unraveling, thread by thread she adds detergent, the cap comes off with",2,2,2,"The text fits recognizably within a stream-of-consciousness or literary fiction mode, with its run-on sentences, present-tense narration, lack of punctuation breaks, and mundane domestic scene layered with psychological interiority—though the blending of these elements and the unpolished, fragmented quality give it a slightly distinctive feel that doesn't perfectly match any single established category."
dual_steered_high,L13_composite_a6.0_L14_composite_a4.5__public_transit,"As she stood on the corner, the fluorescent glow of the streetlight above flickered with each passing moment, Susan felt her eyes twitch. She was waiting for the bus. She had just come from her office, from a meeting, from her job. And she had just left. A single frame, cast forward in time. The bus was late. It had been 10 minutes, 20 minutes, 37 minutes since she had boarded the last one. The grey stone beneath her feet felt cold. She wore no shoes, because she had not expected to stand. The air clung heavy to her skin, the smell of exhaust and rain. It was not raining now. Not yet. She checked her watch. Again. The minute hand hung forward, a halting counter to the thoughts of a coming storm. The rain might not be enough to clear the roads, the storm drains already clogged, but it",1,2,2,"The text has an interesting quality where its disjointed logic (waiting for a bus she already boarded, wearing no shoes because she didn't expect to stand, ""a single frame, cast forward in time"") creates an uncanny, dreamlike effect, but these surreal non-sequiturs feel deliberately placed to generate literary strangeness — the fragmented sentences, the atmospheric layering, and the abrupt cutoff all read as conscious stylistic choices aimed at evoking alienation and disorientation."
dual_steered_moderate,L13_composite_a6.0_L14_lynchian_a3.0__laundry,"It was a typical Tuesday morning in the Bertrand Apartments, a complex of old stone buildings and impossible angles, where corridors twisted like a Möbius strip. The elevator was broken, and so, Mrs. Kuznetsov, a resident of 34, stood in the laundry room, its walls weeping rust, sorting the whites from the blacks. Her hands, a map of age and care, a network of fine lines and precision, moved with a deliberate slowness. She picked up a sock, held it to the light, and let it fall. A clean sock. She placed it with the others. A dirty one. She placed it with the dirty ones. A murmur of conversation came from the doorway. Mrs. Kuznetsov's eyes flicked up, her gaze locking onto the figure standing there, a girl with a look of distraction, eyes fixed on the phone in her hand. ""Lost in thought?"" Mrs. Kuznetsov asked, her voice",1,1,2,"This text is clearly a crafted piece of literary fiction, with deliberate imagery choices (hands as ""a map of age and care,"" walls ""weeping rust,"" the Möbius strip corridors), carefully constructed atmosphere, and a controlled narrative voice that builds a specific mood — all hallmarks of intentional literary design, though some elements like the mundane sock-sorting feel more naturalistic."
